"ITEM","WEEK","UNITS_ON_HAND"
197895,3,550
149353,1,4902
1284160,4,1606
1211848,3,753
100538,4,401
1289409,2,84
192085,5,2
51392,2,1288
149931,1,35
117651,4,20
1274223,5,428
1158412,1,8403
74336,4,14
1272289,2,1120
1264222,4,575
1257843,1,98
1272985,2,39
217383,2,24
1277691,2,468
1159223,2,44
74106,1,5
1158173,5,295
81915,3,65
147911,5,177
219442,3,93
129705,1,3389
416042,3,10063
177028,3,30
1243445,4,87
1266123,3,81
30654,3,680
1296986,1,821
219438,3,557
115942,3,659
39843,4,669
69247,2,31
165967,1,91
922272,3,731
1266123,1,95
1565869,5,565
36216,3,509
164590,1,56
135870,4,47
913495,3,78
58262,4,3640
52209,3,23
261973,1,66
1551604,1,53
1309069,5,382
389739,4,29
203619,5,279
1298834,5,929
190757,3,19
307125,2,5017
49189,4,287
1282190,4,3499
180386,5,5885
1551604,5,43
411032,3,4135
149931,4,26
1296986,3,541
119750,5,357
52209,5,23
123565,5,18
1318253,3,14
1156829,2,4654
1255496,4,382
161105,1,670
110852,3,50
155806,2,9
1237717,5,46
1296986,4,393
1219323,2,17
1565560,1,2101
1227971,4,927
1309069,2,801
96430,5,53
13964,2,106
1307023,3,778
1277691,1,632
135870,1,78
1313684,1,16
306511,4,5838
29511,2,45
214227,1,53
123565,1,23
407909,2,7118
209498,2,110
217383,1,34
1243445,1,72
58262,1,6120
30909,4,474
98446,1,740
357262,1,992
1232842,2,3309
34780,1,560
1320561,2,6
888634,5,34
1257843,4,180
134101,3,0
1255496,5,365
10998,4,33
219442,1,72
1265189,4,60
1159223,3,37
110852,1,71
116808,2,426
137321,1,6877
1289409,3,80
1318253,5,14
41134,4,35
112734,1,93
160960,1,1274
1311445,4,3568
146819,4,2464
155517,2,10
1161658,1,86
1277691,3,339
1272289,3,1112
1304952,5,381
76239,3,11
121424,3,536
110852,4,36
111720,4,3366
193538,3,467
20648,4,28
98174,4,384
142342,5,28
29511,4,28
142342,3,36
1286579,4,43
39350,2,22
93735,1,9195
195498,4,6866
134101,5,0
125325,4,6339
89647,2,50
1270317,2,13
98446,4,454
1161293,4,529
207253,5,68
1311445,1,5590
1158412,3,8776
231881,3,556
39350,3,21
100538,1,850
195498,2,7547
131927,2,19
82698,4,5653
1563228,5,51
1232842,4,3593
102648,2,1763
1310727,2,4485
1252318,4,1786
1277691,4,267
185123,1,3417
219442,4,80
216124,2,3248
135870,5,33
1163253,4,28
105124,5,738
111720,3,4119
1304650,5,2829
72156,4,481
218520,5,413
169766,1,1135
403188,4,31
1242536,2,32
1272985,1,50
124010,5,851
307125,5,5197
26223,2,28
167550,3,636
1295483,4,5658
1539030,3,324
1304650,3,3469
1287156,5,347
1307023,2,873
1302459,2,546
69247,5,25
261187,3,18
217352,4,18
139391,2,696
1227971,1,1544
149931,2,27
1276237,3,1950
9682,5,133
306511,5,5141
1284160,3,2222
71626,2,29
93207,2,850
1303524,3,42
141365,1,797
117651,2,31
82383,2,582
82509,1,41
39843,3,706
127237,4,2
1566589,1,82
81915,4,60
1231141,2,8156
195228,4,39
20909,4,60
1263203,2,69
1316882,2,59
222575,2,666
165967,2,79
98174,5,276
1218485,4,1108
122471,2,37
259471,1,12
1264222,2,651
231881,5,379
13964,3,77
82383,1,668
401287,5,457
205431,4,493
913623,3,72
114190,3,97
164590,5,25
1296843,2,684
1208107,4,80
98174,3,481
167128,2,857
392822,5,63
28434,5,16143
1293458,5,398
88498,5,3258
261973,2,61
1565869,4,601
200157,5,45
1218900,4,712
84850,1,54
86830,3,51
215342,1,25
1158173,2,425
102648,3,1508
1286579,1,64
17778,1,800
312323,5,37
223745,5,93
1227971,5,725
1274223,2,601
53569,5,11688
215342,4,23
1284160,1,2737
71626,5,13
238327,3,58
1298052,3,1329
400072,2,54
188651,4,5
150935,1,78
1237043,5,54
1551604,4,47
45683,2,816
185123,2,2601
398021,5,6546
72443,1,16
1225525,3,11
1161293,1,933
1156829,4,3283
239070,5,64
1303524,5,27
1291336,4,63
1264222,3,770
1213965,2,60
887475,2,678
1310727,5,4439
185490,3,56
1213965,1,83
405691,5,855
213406,3,356
885775,1,1388
204993,2,74
1276237,1,2669
913495,4,71
30909,2,552
207253,3,75
22721,3,5471
26223,1,37
167550,4,597
1270158,4,59
411032,2,4477
1248170,2,68
404506,4,948
82509,4,31
1218900,5,687
1271607,3,27
193538,4,402
261187,1,23
9682,2,85
918338,1,810
60420,3,608
108414,4,590
58262,5,3159
217383,4,30
69247,3,26
146819,2,2818
213406,1,570
175059,3,60
72443,3,17
312323,3,57
888634,1,81
51889,5,6
125561,4,808
185490,5,64
1240373,1,16
122471,3,50
1293458,3,608
74336,2,25
