"ITEM","CUSTOMER_NUMBER","WEEK","UNITS_SOLD"
9023,6003,3,1
9023,24513,1,2
9023,22302,3,1
9023,7195,2,10
9023,2957,3,1
9023,22352,1,69
9023,12131,2,1
9023,12818,4,1
9023,5943,3,1
9023,7953,4,1
9023,25549,1,34
9023,4861,1,92
9023,4861,2,1
9023,7567,2,4
9023,10184,2,1
9023,4712,3,2
9023,3581,2,1
9023,3581,5,1
9023,13565,3,8
9023,29884,1,41
9023,11577,3,1
9023,11577,4,1
9023,27013,3,1
9023,22808,2,2
9023,8676,4,1
9023,14378,2,1
9023,18886,2,1
9023,29673,1,2
9023,9201,1,1
9023,9201,3,2
9023,13253,2,2
9023,22959,1,1
9023,13916,5,1
9023,28312,1,60
9023,23217,1,1
9023,19894,3,1
9023,21586,2,6
9023,22642,2,1
9023,20469,1,1
9023,9819,5,3
9023,20547,1,47
9023,14849,3,1
9023,26283,1,1
9023,9687,1,2
9023,11539,2,1
9023,11539,4,1
9023,17697,2,7
9023,9359,1,71
9023,5397,2,1
9023,29805,3,1
9023,5534,3,1
9023,19564,2,2
9023,24805,2,1
9023,25833,2,1
9023,26553,1,44
9023,19696,2,1
9023,286,2,2
9023,1078,2,1
9023,23661,1,59
9023,27394,2,2
9023,12263,2,6
9023,2806,4,1
9023,1,3,1
9023,24436,2,4
9023,11470,2,7
9023,25802,1,2
9023,27456,5,1
9023,15370,2,1
9023,21286,1,95
9023,9674,3,2
9023,10138,3,1
9023,11840,2,2
9023,11840,4,1
9023,17701,2,2
9023,2919,1,82
9023,1180,1,1
9023,1180,2,1
9023,16995,2,2
9023,510,3,2
9023,20851,1,61
9023,29732,2,3
9023,24897,1,1
9023,1060,1,50
9023,3337,5,2
9023,27674,1,16
9023,6147,3,2
9023,1201,3,3
9023,12372,2,2
9023,25789,1,1
9023,13600,1,1
9023,21313,3,2
9023,28004,2,1
9023,1011,2,1
9023,5224,3,1
9682,1690,3,3
9682,24513,3,1
9682,8648,2,2
9682,1568,2,7
9682,12420,5,1
9682,2957,2,4
9682,3095,2,1
9682,22352,4,1
9682,28353,5,5
9682,14524,3,1
9682,7564,2,1
9682,12131,1,46
9682,27654,3,2
9682,12103,2,4
9682,17732,4,1
9682,5943,1,69
9682,7953,1,1
9682,7953,2,2
9682,28522,2,7
9682,10498,3,1
9682,25549,1,21
9682,13899,3,2
9682,7567,5,1
9682,8156,2,1
9682,13565,3,3
9682,7335,2,1
9682,11577,1,2
9682,3052,2,1
9682,20085,3,2
9682,783,1,1
9682,783,2,1
9682,14611,2,2
9682,20573,1,9
9682,22165,4,1
9682,24821,2,7
9682,838,2,1
9682,838,3,1
9682,23667,2,7
9682,12401,3,1
9682,20928,3,1
9682,21586,4,1
9682,14065,2,1
9682,26053,2,1
9682,28535,5,1
9682,11191,3,1
9682,25917,2,2
9682,25672,3,1
9682,25672,4,1
9682,4358,3,4
9682,7317,3,2
9682,5476,1,37
9682,5834,3,2
9682,29714,1,76
9682,17078,2,1
9682,1977,2,7
9682,5505,2,3
9682,1078,2,8
9682,23661,1,61
9682,28049,2,2
9682,23155,2,1
9682,28433,4,1
9682,9481,1,53
9682,15113,2,1
9682,20874,2,3
9682,12977,4,1
9682,3996,3,1
9682,7013,1,86
9682,7013,2,3
9682,23704,1,62
9682,20370,2,6
9682,22418,2,1
9682,18736,2,3
9682,23962,1,1
9682,4341,1,86
9682,20501,2,8
9682,19172,3,3
9682,19172,4,2
9682,21286,4,1
9682,19622,3,1
9682,2919,1,45
9682,28833,3,2
9682,3041,1,5
9682,510,2,1
9682,25014,2,1
9682,9629,1,77
9682,5671,2,1
9682,15639,5,1
9682,1060,4,2
9682,7064,3,3
9682,5329,2,3
9682,29456,3,3
9682,24966,1,2
9682,27710,1,68
9682,22599,5,1
9682,5224,1,52
10998,1690,2,3
10998,5928,1,16
10998,5928,2,2
10998,19025,2,1
10998,1866,1,23
10998,27050,2,2
10998,25418,2,6
10998,8609,1,11
10998,3952,2,7
10998,10065,2,1
10998,7953,3,1
10998,25549,1,1
10998,9738,1,2
10998,9738,2,4
10998,7567,2,6
10998,21789,1,8
10998,19143,4,1
10998,11630,2,2
10998,11070,3,1
10998,22895,2,1
10998,12465,4,1
10998,15802,3,1
10998,15753,2,1
10998,14669,2,7
10998,358,2,1
10998,14217,2,8
10998,7085,4,2
10998,3278,3,2
10998,19561,5,1
10998,11191,2,2
10998,15521,1,1
10998,11245,2,1
10998,22310,2,1
10998,9385,1,5
10998,20760,4,1
10998,5534,1,1
10998,25833,3,2
10998,4682,1,3
10998,26553,2,5
10998,9291,1,88
10998,5864,2,4
10998,18482,2,3
10998,26753,3,1
10998,14246,3,1
10998,6242,1,16
10998,20839,2,1
10998,19544,5,3
10998,1989,1,1
10998,1989,4,1
10998,11418,1,41
10998,11418,5,1
10998,26569,3,2
10998,11470,1,1
10998,16629,2,1
10998,23707,1,1
10998,20874,4,1
10998,7013,2,2
10998,486,2,1
10998,11843,1,69
10998,11843,4,1
10998,17068,2,1
10998,17084,1,1
10998,11,2,1
10998,24892,2,1
10998,20851,1,1
10998,23486,3,2
10998,28558,2,3
10998,4129,2,12
10998,29545,4,2
10998,1062,3,1
10998,4263,1,2
10998,4263,5,1
10998,4091,1,1
10998,19805,2,2
10998,29456,1,9
10998,28867,4,1
10998,15660,3,1
10998,3431,2,7
10998,17898,1,21
10998,8692,2,1
10998,10049,1,24
10998,18059,1,4
12227,25434,3,2
12227,28504,3,2
12227,12469,1,1
12227,9201,2,63
12227,6499,3,2
12227,23810,1,1
12227,29157,1,2
12227,26753,1,1
12227,21313,4,1
12306,6141,5,4
12306,21789,1,45
12306,21918,2,1
12306,15599,1,22
12306,19826,1,75
12306,20916,4,1
12306,24966,3,1
12306,22846,5,1
13964,26865,1,1
13964,7564,2,2
13964,9608,2,2
13964,2839,1,44
13964,12103,1,48
13964,27101,3,1
13964,13315,4,1
13964,725,1,74
13964,11070,1,16
13964,783,1,84
13964,22876,1,10
13964,22876,2,1
13964,9201,1,55
13964,21130,1,2
13964,21130,5,1
13964,2093,1,53
13964,22642,1,1
13964,7085,4,2
13964,20710,1,57
13964,22310,1,54
13964,8222,1,1
13964,19564,1,80
13964,15959,1,82
13964,15599,2,1
13964,27688,1,21
13964,26304,5,1
13964,18886,1,88
13964,23707,3,2
13964,15113,3,1
13964,7013,1,47
13964,23704,1,83
13964,14457,1,94
13964,1736,1,30
13964,19172,1,1
13964,21771,1,44
13964,11840,3,2
13964,11840,4,1
13964,21733,1,47
13964,6257,5,3
13964,7712,1,66
13964,23486,1,11
13964,1738,1,49
13964,11372,1,1
13964,28867,2,1
13964,3568,1,82
13964,22921,1,43
15395,28353,1,56
15395,19880,2,1
15395,10065,1,76
15395,21002,3,1
15395,539,1,75
15395,8113,1,1
15395,22642,1,1
15395,13641,1,73
15395,18244,3,1
15395,22310,1,43
15395,3905,1,1
15395,15959,2,1
15395,9071,3,1
15395,14715,2,1
15395,4682,3,1
15395,26553,2,1
15395,29208,1,24
15395,1736,1,60
15395,1749,2,1
15395,503,1,38
15395,28605,2,1
15395,1876,1,1
15395,24854,1,52
15395,13600,1,47
15395,5224,1,71
17778,26865,2,87
17778,6312,1,61
17778,4861,5,1
17778,4899,3,1
17778,9385,3,1
17778,1977,4,1
17778,14337,4,2
17778,21710,3,1
17778,1050,4,1
17778,19903,1,44
17778,21733,3,1
17778,17226,2,2
17778,22846,1,96
17778,17472,2,1
17972,26865,2,1
17972,22566,3,3
17972,29844,3,2
17972,28235,2,1
17972,25197,2,2
17972,7567,3,2
17972,3581,2,1
17972,12219,3,2
17972,12219,4,4
17972,24510,2,1
17972,24657,5,3
17972,24614,1,1
17972,22165,3,1
17972,16502,2,1
17972,23984,2,1
17972,8113,2,2
17972,24341,4,2
17972,14849,2,8
17972,16740,1,1
17972,22459,2,1
17972,15317,2,1
17972,18763,4,1
17972,21396,2,1
17972,25,3,1
17972,25833,3,1
17972,19617,1,1
17972,1492,1,71
17972,7664,2,1
17972,26304,2,1
17972,20139,1,1
17972,20139,5,5
17972,10496,3,1
17972,27394,4,1
17972,28049,4,1
17972,16828,1,2
17972,12613,1,18
17972,28433,1,1
17972,28433,5,1
17972,7970,2,1
17972,18736,1,33
17972,21771,1,1
17972,3822,2,4
17972,29701,4,1
17972,21733,1,5
17972,7994,4,2
17972,20851,3,1
17972,15958,2,1
17972,13968,1,26
17972,6660,2,1
17972,11372,3,1
17972,28833,3,1
17972,29456,2,1
17972,18557,1,1
17972,15660,1,1
17972,12372,1,70
17972,609,1,20
17972,23947,1,41
17972,5224,5,1
19458,27654,5,4
19458,16210,3,4
19458,4861,3,2
